Word,Length,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF
foreclosures,12,218,5.38,0.12,0.85
forecourt,9,4,1.39,0.04,0.48
forecourts,10,1,0,NULL,NULL
foredoom,8,0,0,NULL,NULL
foredoomed,10,6,1.79,0.04,0.48
foredooming,11,0,0,NULL,NULL
foredooms,9,0,0,NULL,NULL
forefeet,8,25,3.22,NULL,NULL
forefoot,8,47,3.85,NULL,NULL
forehands,9,31,3.43,NULL,NULL
foreknew,8,14,2.64,NULL,NULL
foreknow,8,7,1.95,NULL,NULL
foreknowing,11,1,0,NULL,NULL
foreknows,9,2,0.69,NULL,NULL
foreland,8,8,2.08,NULL,NULL
forelands,9,2,0.69,NULL,NULL
foreleg,7,56,4.03,0.06,0.6
forelegs,8,387,5.96,0.04,0.48
FORELLEN,8,2,0.69,NULL,NULL
forelock,8,22,3.09,0.04,0.48
forelocks,9,5,1.61,NULL,NULL
foremasts,9,0,0,NULL,NULL
foremen,7,62,4.13,0.14,0.9
forename,8,20,3,NULL,NULL
forenames,9,6,1.79,NULL,NULL
forenoon,8,16,2.77,NULL,NULL
forenoons,9,2,0.69,NULL,NULL
foreordained,12,20,3,NULL,NULL
foreordaining,13,0,0,NULL,NULL
foreordains,11,0,0,NULL,NULL
forepart,8,4,1.39,NULL,NULL
fens,4,26,3.26,0.18,1
FENSTER,7,144,4.97,0.53,1.45
FENUGREEK,9,67,4.2,NULL,NULL
FENWAY,6,180,5.19,NULL,NULL
FENWICK,7,241,5.48,NULL,NULL
FER,3,1630,7.4,0.18,1
FERBER,6,84,4.43,NULL,NULL
FERDINAND,9,494,6.2,NULL,NULL
FERDINANDO,10,22,3.09,NULL,NULL
FERGESON,8,11,2.4,NULL,NULL
FERGUSON,8,2896,7.97,NULL,NULL
FERGUSON'S,10,67,4.2,NULL,NULL
FERGUSSON,9,35,3.56,NULL,NULL
FERINGA,7,0,0,NULL,NULL
FERLENGHETTI,12,0,0,NULL,NULL
FERMATE,7,1,0,NULL,NULL
ferments,8,46,3.83,0.04,0.48
FERNAND,7,68,4.22,NULL,NULL
FERNBERGER,10,0,0,NULL,NULL
FERNERY,7,0,0,NULL,NULL
fernier,7,1,0,NULL,NULL
ferniest,8,0,0,NULL,NULL
ferny,5,8,2.08,NULL,NULL
ferociously,11,129,4.86,0.14,0.9
ferocities,10,0,0,NULL,NULL
FERRARO,7,208,5.34,NULL,NULL
FERRAROS,8,2,0.69,NULL,NULL
FERRELL,7,157,5.06,NULL,NULL
ferociousness,13,9,2.2,0.04,0.48
ferreting,9,55,4.01,0.02,0.3
ferrets,7,1791,7.49,0.18,1
FERRO,5,291,5.67,NULL,NULL
ferroconcrete,13,1,0,NULL,NULL
ferrous,7,162,5.09,0.04,0.48
ferrule,7,106,4.66,NULL,NULL
ferrules,8,60,4.09,NULL,NULL
ferryboats,10,5,1.61,0.04,0.48
ferrying,8,65,4.17,NULL,NULL
ferrymen,8,2,0.69,NULL,NULL
fertilizes,10,22,3.09,0.08,0.7
fertilizing,11,119,4.78,0.1,0.78
ferule,6,3,1.1,NULL,NULL
ferules,7,2,0.69,NULL,NULL
fervently,9,321,5.77,0.16,0.95
fervidly,8,1,0,NULL,NULL
fervour,7,79,4.37,0.04,0.48
FESS,4,302,5.71,0.59,1.49
festal,6,7,1.95,NULL,NULL
festered,8,38,3.64,0.04,0.48
festers,7,25,3.22,0.04,0.48
FESTIVUS,8,2,0.69,NULL,NULL
festoon,7,5,1.61,0.06,0.6
festooned,9,77,4.34,NULL,NULL
festooning,10,2,0.69,NULL,NULL
festoons,8,6,1.79,0.02,0.3
fetched,7,831,6.72,0.55,1.46
fetches,7,280,5.63,0.1,0.78
fete,4,116,4.75,0.31,1.23
feted,5,35,3.56,0.02,0.3
fetes,5,29,3.37,0.04,0.48
fetid,5,107,4.67,0.14,0.9
feting,6,2,0.69,0.02,0.3
fetishes,8,500,6.21,0.2,1.04
fetishist,9,79,4.37,0.08,0.7
fetishists,10,138,4.93,0.06,0.6
FETISHIZE,9,14,2.64,0.02,0.3
fetlock,7,11,2.4,0.08,0.7
fetlocks,8,1,0,0.06,0.6
fetter,6,75,4.32,0.02,0.3
fettered,8,76,4.33,0.02,0.3
fettering,9,2,0.69,NULL,NULL
fetters,7,142,4.96,0.04,0.48
fettle,6,8,2.08,0.12,0.85
FEUCHTWANGER,12,1,0,NULL,NULL
feudatories,11,2,0.69,NULL,NULL
feudatory,9,1,0,NULL,NULL
feuded,6,23,3.14,NULL,NULL
feuding,7,162,5.09,0.37,1.3
FEUERMANN,9,7,1.95,NULL,NULL
fevers,6,158,5.06,0.22,1.08
FEVERSHAM,9,7,1.95,NULL,NULL
fewest,6,379,5.94,0.18,1
fewness,7,5,1.61,NULL,NULL
fey,3,132,4.88,0.49,1.42
FEYER'S,7,0,0,NULL,NULL
fez,3,417,6.03,3.84,2.29
fezzes,6,3,1.1,0.04,0.48
FFORTESCUE,10,0,0,NULL,NULL
FFREIND,7,0,0,NULL,NULL
fiancees,8,21,3.04,0.04,0.48
fiances,7,31,3.43,0.06,0.6
fiascos,7,58,4.06,NULL,NULL
fibbed,6,20,3,0.08,0.7
fibber,6,20,3,0.16,0.95
fibbers,7,23,3.14,0.04,0.48
fibbing,7,46,3.83,0.12,0.85
FIBERGLAS,9,46,3.83,NULL,NULL
fibre,5,1240,7.12,0.65,1.53
fibreboard,10,18,2.89,NULL,NULL
fibreglass,10,127,4.84,0.24,1.11
fibres,6,248,5.51,0.71,1.57
FIBRIN,6,14,2.64,NULL,NULL
FIBROCALCIFIC,13,0,0,NULL,NULL
fibrositis,10,33,3.5,NULL,NULL
fibs,4,750,6.62,0.14,0.9
fibulas,7,2,0.69,NULL,NULL
FICHE,5,121,4.8,0.02,0.3
FICHTE,6,18,2.89,NULL,NULL
fichu,5,1,0,NULL,NULL
fichus,6,1,0,0.04,0.48
fictionalization,16,4,1.39,NULL,NULL
fictionalized,13,115,4.74,0.06,0.6
fictionalizes,13,4,1.39,NULL,NULL
fictionally,11,17,2.83,0.02,0.3
fictions,8,443,6.09,0.06,0.6
fiddled,7,288,5.66,0.2,1.04
fiddlers,8,158,5.06,0.08,0.7
fictionalizing,14,4,1.39,NULL,NULL
fictitiously,12,10,2.3,NULL,NULL
FIDE,4,1189,7.08,1.1,1.76
fidgeted,8,31,3.43,NULL,NULL
fidgeting,9,107,4.67,0.57,1.48
fidgets,7,13,2.56,0.14,0.9
fie,3,740,6.61,0.67,1.54
FIEDGLING,9,0,0,NULL,NULL
FIEDLER,7,217,5.38,NULL,NULL
FIEDLER'S,9,2,0.69,NULL,NULL
fiefs,5,36,3.58,NULL,NULL
fieldsmen,9,29,3.37,NULL,NULL
FIELDSTONE,10,12,2.48,0.2,1.04
fieldworks,10,5,1.61,NULL,NULL
fiendishly,10,64,4.16,0.27,1.18
fiendishness,12,3,1.1,NULL,NULL
fiends,6,554,6.32,0.76,1.6
fiercer,7,86,4.45,0.1,0.78
fierier,7,0,0,NULL,NULL
fieriest,8,0,0,NULL,NULL
fierily,7,0,0,NULL,NULL
fieriness,9,0,0,NULL,NULL
fiestas,7,127,4.84,0.02,0.3
fifes,5,6,1.79,0.04,0.48
fifteens,8,2,0.69,0.02,0.3
fifteenths,10,0,0,NULL,NULL
fifthly,7,14,2.64,NULL,NULL
fifths,6,286,5.66,0.12,0.85
fiftieths,9,1,0,NULL,NULL
FIGGER,6,128,4.85,NULL,NULL
FIGGERED,8,43,3.76,NULL,NULL
FIGHTIN,7,194,5.27,NULL,NULL
figments,8,197,5.28,0.14,0.9
FIGONE,6,0,0,NULL,NULL
figuratively,12,354,5.87,0.76,1.6
figureheads,11,62,4.13,0.04,0.48
Fijian,6,20,3,NULL,NULL
Fijians,7,6,1.79,NULL,NULL
FIKE,4,68,4.22,0.04,0.48
FIL,3,412,6.02,NULL,NULL
FILAGREE,8,1,0,NULL,NULL
filature,8,0,0,NULL,NULL
filatures,9,0,0,NULL,NULL
filch,5,13,2.56,0.14,0.9
filches,7,0,0,NULL,NULL
filching,8,1,0,NULL,NULL
FILDE,5,1,0,NULL,NULL
filet,5,194,5.27,0.94,1.69
filibustered,12,97,4.57,NULL,NULL
filibustering,13,49,3.89,0.04,0.48
FILIGREED,9,5,1.61,NULL,NULL
filings,7,451,6.11,0.31,1.23
FILIPPO,7,168,5.12,0.25,1.15
FILLES,6,86,4.45,0.02,0.3
filleted,8,12,2.48,0.08,0.7
filleting,9,18,2.89,0.06,0.6
fillets,7,117,4.76,0.1,0.78
fillip,6,17,2.83,NULL,NULL
fillips,7,2,0.69,NULL,NULL
filmable,8,2,0.69,NULL,NULL
filmier,7,0,0,NULL,NULL
filmiest,8,0,0,NULL,NULL
filminess,9,0,0,NULL,NULL
filtertipped,12,0,0,NULL,NULL
filthier,8,11,2.4,0.24,1.11
filthiest,9,27,3.3,0.59,1.49
filthily,8,1,0,NULL,NULL
filthiness,10,14,2.64,0.18,1
filtrated,9,1,0,NULL,NULL
filtrates,9,3,1.1,NULL,NULL
filtrating,10,0,0,NULL,NULL
finable,7,0,0,NULL,NULL
finales,7,147,4.99,0.06,0.6
finalized,9,858,6.75,0.43,1.36
finalizes,9,16,2.77,NULL,NULL
finalizing,10,295,5.69,0.08,0.7
FINAN,5,114,4.74,NULL,NULL
financiers,10,371,5.92,0.12,0.85
FINBERG,7,30,3.4,NULL,NULL
finches,7,298,5.7,0.25,1.15
FINDSOME,8,1,0,NULL,NULL
finesses,8,18,2.89,NULL,NULL
FING,4,98,4.58,NULL,NULL
fingerboards,12,38,3.64,0.02,0.3
fingerplate,11,0,0,NULL,NULL
fingerplates,12,0,0,NULL,NULL
fingerpost,10,0,0,NULL,NULL
fingerposts,11,0,0,NULL,NULL
fingerprinted,13,59,4.08,0.45,1.38
fingerstall,11,0,0,NULL,NULL
fingerstalls,12,0,0,NULL,NULL
FINIAL,6,19,2.94,NULL,NULL
finical,7,13,2.56,NULL,NULL
finickity,9,0,0,NULL,NULL
fining,6,131,4.88,0.16,0.95
finitely,8,72,4.28,NULL,NULL
FINK'S,6,17,2.83,NULL,NULL
finks,5,39,3.66,0.08,0.7
FINLEY,6,886,6.79,NULL,NULL
finnan,6,11,2.4,0.02,0.3
finnans,7,0,0,NULL,NULL
FINNEGAN,8,159,5.07,NULL,NULL
FINNEY,6,250,5.52,NULL,NULL
FINNEY'S,8,17,2.83,NULL,NULL
FINNSBURG,9,0,0,NULL,NULL
FINOT,5,0,0,NULL,NULL
FIORELLO,8,32,3.47,NULL,NULL
FIORI,5,53,3.97,NULL,NULL
fireballs,9,1025,6.93,0.39,1.32
firebirds,9,113,4.73,NULL,NULL
firebombs,9,47,3.85,0.06,0.6
fireboxes,9,2,0.69,NULL,NULL
firebrands,10,168,5.12,NULL,NULL
firebreak,9,8,2.08,0.06,0.6
firebricks,10,6,1.79,NULL,NULL
firebugs,8,7,1.95,0.04,0.48
fireclay,8,1,0,NULL,NULL
firedamp,8,0,0,NULL,NULL
firedogs,8,1,0,NULL,NULL
fireflies,9,127,4.84,1.02,1.72
fireguard,9,3,1.1,NULL,NULL
fireguards,10,0,0,NULL,NULL
firelighter,11,4,1.39,NULL,NULL
firelighters,12,2,0.69,0.02,0.3
fireproofed,11,5,1.61,0.02,0.3
fireproofing,12,14,2.64,0.18,1
fireproofs,10,1,0,NULL,NULL
firesides,9,6,1.79,0.06,0.6
firestone,9,316,5.76,0.37,1.3
firestorms,10,46,3.83,NULL,NULL
firetrap,8,4,1.39,0.18,1
firetraps,9,0,0,0.06,0.6
firewalker,10,117,4.76,NULL,NULL
firewalkers,11,4,1.39,NULL,NULL
firewalking,11,9,2.2,NULL,NULL
firewatcher,11,0,0,NULL,NULL
firewatchers,12,0,0,NULL,NULL
firewatching,12,0,0,NULL,NULL
firework,8,125,4.83,0.16,0.95
firkin,6,164,5.1,NULL,NULL
firkins,7,5,1.61,0.02,0.3
FIRMA,5,441,6.09,0.2,1.04
firmaments,10,0,0,NULL,NULL
firmed,6,51,3.93,0.04,0.48
firmest,7,61,4.11,0.04,0.48
firming,7,29,3.37,0.02,0.3
firs,4,305,5.72,0.18,1
firstborns,10,1,0,0.02,0.3
firstfruits,11,18,2.89,NULL,NULL
firstly,7,2341,7.76,1.04,1.73
firsts,6,428,6.06,0.45,1.38
firth,5,340,5.83,0.16,0.95
firths,6,0,0,NULL,NULL
firtrees,8,0,0,NULL,NULL
FIRZITE,7,0,0,NULL,NULL
fiscally,8,234,5.46,0.08,0.7
fiscals,7,0,0,NULL,NULL
fishbones,9,64,4.16,NULL,NULL
fishcakes,9,10,2.3,NULL,NULL
fished,6,901,6.8,1.22,1.8
fisheries,9,1302,7.17,0.22,1.08
fishier,7,2,0.69,NULL,NULL
fishiest,8,1,0,0.02,0.3
FISHKILL,8,41,3.71,NULL,NULL
fishpaste,9,0,0,NULL,NULL
fishplate,9,0,0,NULL,NULL
fishplates,10,0,0,NULL,NULL
fishwife,8,7,1.95,0.14,0.9
fishwives,9,0,0,0.02,0.3
FISK,4,464,6.14,0.59,1.49
FISKE,5,145,4.98,NULL,NULL
fissile,7,238,5.47,0.14,0.9
fissionable,11,70,4.25,0.04,0.48
fissiparous,11,7,1.95,NULL,NULL
FISSURED,8,5,1.61,NULL,NULL
fissures,8,94,4.54,0.16,0.95
FISTOULARI'S,12,0,0,NULL,NULL
fistula,7,29,3.37,0.18,1
fistulas,8,49,3.89,NULL,NULL
FITCH,5,2190,7.69,2.53,2.11
fitly,5,3,1.1,0.02,0.3
fitment,7,19,2.94,NULL,NULL
fitments,8,4,1.39,NULL,NULL
fitter,6,187,5.23,0.16,0.95
fitters,7,27,3.3,0.04,0.48
FITZGERALD,10,1381,7.23,NULL,NULL
FITZHUGH,8,55,4.01,NULL,NULL
FITZROY,7,256,5.55,NULL,NULL
fivepences,10,0,0,NULL,NULL
fiver,5,137,4.92,0.49,1.42
fivers,6,20,3,0.02,0.3
fixated,7,386,5.96,0.57,1.48
fixates,7,9,2.2,0.02,0.3
fixating,8,22,3.09,0.27,1.18
fixatives,9,10,2.3,NULL,NULL
fixedly,7,21,3.04,NULL,NULL
fixes,5,8130,9,1.47,1.88
fixity,6,26,3.26,NULL,NULL
fizzed,6,9,2.2,0.04,0.48
fizzes,6,14,2.64,0.02,0.3
fizzier,7,1,0,NULL,NULL
fizziest,8,0,0,NULL,NULL
fizzing,7,26,3.26,0.16,0.95
fizzles,7,173,5.15,0.02,0.3
fizzling,8,18,2.89,NULL,NULL
FLA,3,2442,7.8,NULL,NULL
flabbergasted,13,189,5.24,0.29,1.2
flabbergasting,14,6,1.79,NULL,NULL
flabbergasts,12,1,0,NULL,NULL
flabbier,8,0,0,NULL,NULL
flabbiest,9,0,0,NULL,NULL
flabbily,8,1,0,NULL,NULL
flabbiness,10,3,1.1,NULL,NULL
flaccidity,10,2,0.69,NULL,NULL
flagellant,10,5,1.61,0.02,0.3
flagellants,11,12,2.48,NULL,NULL
flagellate,10,17,2.83,0.04,0.48
flagellates,11,2,0.69,NULL,NULL
flagellating,12,5,1.61,NULL,NULL
flagellums,10,0,0,NULL,NULL
flageolet,9,1,0,0.02,0.3
flageolets,10,4,1.39,NULL,NULL
flagged,7,516,6.25,0.9,1.67
flagging,8,265,5.58,0.18,1
FLAGLER'S,9,4,1.39,NULL,NULL
flagon,6,29,3.37,0.31,1.23
flagons,7,7,1.95,0.08,0.7
flagships,9,30,3.4,NULL,NULL
flagstaffs,10,1,0,NULL,NULL
flagstones,10,20,3,0.04,0.48
flails,6,37,3.61,0.04,0.48
flairs,6,32,3.47,NULL,NULL
flaked,6,178,5.18,0.27,1.18
flakier,7,13,2.56,0.02,0.3
flakiest,8,4,1.39,NULL,NULL
flakiness,9,80,4.38,0.02,0.3
flaking,7,210,5.35,0.22,1.08
flambeau,8,32,3.47,NULL,NULL
flambeaux,9,4,1.39,NULL,NULL
flamethrowers,13,158,5.06,0.2,1.04
flamingos,9,116,4.75,0.43,1.36
FLANAGAN,8,713,6.57,NULL,NULL
FLANDERS,8,690,6.54,0.92,1.68
flanges,7,201,5.3,NULL,NULL
flanks,6,221,5.4,0.65,1.53
FLANNAGAN,9,20,3,NULL,NULL
FLANNAGANS,10,1,0,NULL,NULL
flannelette,11,5,1.61,NULL,NULL
flannelled,10,0,0,NULL,NULL
flannelling,11,0,0,NULL,NULL
flans,5,63,4.14,0.02,0.3
flapjacks,9,12,2.48,0.35,1.28
flaps,5,1130,7.03,1.43,1.87
flashbacks,10,774,6.65,0.67,1.54
flashbulbs,10,36,3.58,0.33,1.26
flashcube,9,1,0,NULL,NULL
flashcubes,10,19,2.94,NULL,NULL
flashers,8,91,4.51,0.04,0.48
flashgun,8,8,2.08,0.02,0.3
flashguns,9,7,1.95,NULL,NULL
flashier,8,82,4.41,NULL,NULL
flashiest,9,30,3.4,0.02,0.3
flashily,8,0,0,NULL,NULL
flashiness,10,21,3.04,0.04,0.48
flashlights,11,221,5.4,1.1,1.76
flashpoint,10,336,5.82,0.08,0.7
flashpoints,11,22,3.09,NULL,NULL
flasks,6,91,4.51,0.06,0.6
flatcars,8,8,2.08,0.08,0.7
flatfish,8,15,2.71,0.1,0.78
flatfishes,10,0,0,NULL,NULL
flatiron,8,11,2.4,0.12,0.85
flatirons,9,1,0,NULL,NULL
FLATLAND,8,194,5.27,0.04,0.48
flatlet,7,0,0,NULL,NULL
flatlets,8,1,0,NULL,NULL
flattens,8,112,4.72,0.12,0.85
flatterer,9,21,3.04,0.33,1.26
externally,10,1283,7.16,0.2,1.04
externals,9,380,5.94,NULL,NULL
exterritorial,13,0,0,NULL,NULL
extinguishable,14,3,1.1,NULL,NULL
extinguishers,13,139,4.93,0.41,1.34
extinguishes,12,32,3.47,0.06,0.6
extinguishing,13,176,5.17,0.1,0.78
extirpate,9,8,2.08,NULL,NULL
extirpated,10,21,3.04,NULL,NULL
extirpates,10,0,0,NULL,NULL
extirpating,11,2,0.69,NULL,NULL
extirpation,11,27,3.3,NULL,NULL
extolled,8,64,4.16,0.04,0.48
extolling,9,171,5.14,0.06,0.6
extols,6,22,3.09,0.02,0.3
extortionate,12,64,4.16,0.02,0.3
extortioner,11,0,0,NULL,NULL
extortionately,14,3,1.1,NULL,NULL
extortioners,12,1,0,NULL,NULL
extortionists,13,19,2.94,0.06,0.6
extortions,10,9,2.2,0.02,0.3
extractions,11,151,5.02,0.18,1
extraditable,12,1,0,NULL,NULL
extradited,10,188,5.24,0.39,1.32
extradites,10,0,0,NULL,NULL
extraditing,11,33,3.5,0.06,0.6
extraditions,12,3,1.1,0.02,0.3
extravagances,13,38,3.64,0.06,0.6
EXTREMA,7,80,4.38,NULL,NULL
extrajudicial,13,254,5.54,0.02,0.3
EXTRALEGAL,10,24,3.18,0.02,0.3
extramural,10,108,4.68,NULL,NULL
extraneously,12,1,0,NULL,NULL
extrapolating,13,283,5.65,0.1,0.78
extravagantly,13,28,3.33,0.1,0.78
EXTREMIS,8,85,4.44,0.16,0.95
extricable,10,0,0,NULL,NULL
extricated,10,37,3.61,NULL,NULL
extricates,10,5,1.61,NULL,NULL
extricating,11,24,3.18,0.04,0.48
extroverts,10,17,2.83,0.04,0.48
EXTRUDER,8,29,3.37,0.02,0.3
extrudes,8,16,2.77,NULL,NULL
extrusions,10,34,3.53,NULL,NULL
exuberantly,11,21,3.04,0.02,0.3
exudes,6,86,4.45,0.18,1
exuding,7,36,3.58,0.04,0.48
exulted,7,31,3.43,0.04,0.48
exulting,8,12,2.48,0.02,0.3
exults,6,24,3.18,NULL,NULL
EYD,3,23,3.14,NULL,NULL
eyebaths,8,0,0,NULL,NULL
eyecatching,11,18,2.89,NULL,NULL
eyecup,6,13,2.56,NULL,NULL
eyecups,7,9,2.2,NULL,NULL
eyedrops,8,33,3.5,NULL,NULL
eyefuls,7,1,0,NULL,NULL
eyepieces,9,287,5.66,0.02,0.3
eyesores,8,12,2.48,0.06,0.6
eyewitnesses,12,288,5.66,1.14,1.77
EYING,5,34,3.53,NULL,NULL
EYKE,4,1,0,NULL,NULL
eyot,4,4,1.39,NULL,NULL
eyots,5,0,0,NULL,NULL
eyrie,5,51,3.93,0.02,0.3
eyries,6,0,0,NULL,NULL
F'OVUH,6,0,0,NULL,NULL
fa,2,4400,8.39,1.86,1.98
FABER,5,806,6.69,NULL,NULL
FABER'S,7,4,1.39,NULL,NULL
Fabian,6,832,6.72,2.88,2.17
Fabians,7,2,0.69,NULL,NULL
fabricates,10,27,3.3,0.04,0.48
fabrications,12,304,5.72,0.06,0.6
FABRICIUS,9,30,3.4,NULL,NULL
fabulously,10,214,5.37,0.29,1.2
facecloths,10,8,2.08,NULL,NULL
facer,5,21,3.04,0.02,0.3
facers,6,1,0,NULL,NULL
facetiousness,13,19,2.94,NULL,NULL
facially,8,59,4.08,0.04,0.48
facials,7,133,4.89,0.22,1.08
facilely,8,6,1.79,NULL,NULL
facileness,10,0,0,NULL,NULL
facings,7,29,3.37,NULL,NULL
FACIUNT,7,1,0,NULL,NULL
facsimiles,10,95,4.55,0.04,0.48
FACSIPORT,9,0,0,NULL,NULL
factitious,10,6,1.79,0.02,0.3
FACTO,5,2356,7.76,0.73,1.58
factored,8,638,6.46,0.31,1.23
factoring,9,1930,7.57,0.27,1.18
factorize,9,9,2.2,NULL,NULL
factorized,10,5,1.61,NULL,NULL
factorizes,10,0,0,NULL,NULL
factorizing,11,0,0,NULL,NULL
factotum,8,41,3.71,0.12,0.85
factotums,9,0,0,NULL,NULL
factually,9,618,6.43,0.08,0.7
faddier,7,0,0,NULL,NULL
faddiest,8,0,0,NULL,NULL
faddily,7,0,0,NULL,NULL
faddish,7,46,3.83,NULL,NULL
faddishly,9,0,0,NULL,NULL
faddy,5,5,1.61,NULL,NULL
fadeouts,8,72,4.28,NULL,NULL
fades,5,1178,7.07,1.92,2
faecal,6,14,2.64,0.1,0.78
faeces,6,92,4.52,0.16,0.95
faeries,7,137,4.92,0.04,0.48
faery,5,114,4.74,0.06,0.6
fag,3,1252,7.13,5.39,2.44
FAGAN,5,227,5.42,NULL,NULL
FAGET,5,6,1.79,NULL,NULL
FAGET'S,7,1,0,NULL,NULL
fagged,6,7,1.95,0.12,0.85
fagging,7,8,2.08,NULL,NULL
faggot,6,771,6.65,6.86,2.55
faggots,7,349,5.86,1.41,1.86
fags,4,467,6.15,1.53,1.9
FAHEY,5,377,5.93,NULL,NULL
faience,7,4,1.39,NULL,NULL
FAIER,5,1,0,NULL,NULL
failingly,9,0,0,NULL,NULL
failings,8,1176,7.07,0.29,1.2
FAIM,4,13,2.56,NULL,NULL
fainter,7,91,4.51,0.2,1.04
fainting,8,215,5.37,1.25,1.81
faintness,9,23,3.14,0.04,0.48
faints,6,84,4.43,0.33,1.26
FAIRBROTHERS,12,1,0,NULL,NULL
FAIRCHILD,9,565,6.34,NULL,NULL
FAIRES,6,95,4.55,NULL,NULL
FAIRFAX,7,1788,7.49,NULL,NULL
fairgrounds,11,364,5.9,0.24,1.11
FAIRING,7,300,5.7,0.04,0.48
fairish,7,6,1.79,NULL,NULL
FAIRLESS,8,21,3.04,NULL,NULL
FAIRMONT,8,247,5.51,NULL,NULL
FAIRMOUNT,9,65,4.17,NULL,NULL
FAIRVIEW,8,222,5.4,NULL,NULL
fairylands,10,7,1.95,NULL,NULL
fairytales,10,54,3.99,NULL,NULL
faithfulness,12,193,5.26,0.2,1.04
faithlessly,11,3,1.1,NULL,NULL
faithlessness,13,49,3.89,0.02,0.3
fakers,6,74,4.3,0.2,1.04
fakes,5,710,6.57,1.55,1.9
faking,6,793,6.68,4.51,2.36
fakir,5,281,5.64,0.08,0.7
fakirs,6,10,2.3,0.08,0.7
falconer,8,2371,7.77,0.08,0.7
falconers,9,87,4.47,NULL,NULL
falcons,7,728,6.59,0.31,1.23
FALEGNAMI,9,0,0,NULL,NULL
FALLA'S,7,4,1.39,NULL,NULL
fallacies,9,487,6.19,0.1,0.78
fallibility,11,62,4.13,0.04,0.48
Fallopio,8,0,0,NULL,NULL
FALMOUTH,8,106,4.66,NULL,NULL
fallaciously,12,22,3.09,NULL,NULL
falsely,7,1429,7.26,1.31,1.83
falsettos,9,102,4.62,NULL,NULL
falsifications,14,52,3.95,0.02,0.3
falsified,9,413,6.02,0.47,1.4
falsifies,9,21,3.04,0.02,0.3
falsities,9,24,3.18,NULL,NULL
FALSTAFF,8,91,4.51,NULL,NULL
faltering,9,110,4.7,0.2,1.04
falteringly,11,3,1.1,NULL,NULL
FAMES,5,15,2.71,0.02,0.3
FAMILAR,7,580,6.36,NULL,NULL
FAMILARITY,10,48,3.87,NULL,NULL
familiarities,13,10,2.3,NULL,NULL
familiarized,12,67,4.2,0.08,0.7
familiarizes,12,8,2.08,NULL,NULL
familiarizing,13,58,4.06,NULL,NULL
familiars,9,64,4.16,0.2,1.04
FAMILISM,8,1,0,NULL,NULL
FAMILISTICAL,12,0,0,NULL,NULL
FAMILLE,7,283,5.65,0.06,0.6
famines,7,216,5.38,0.12,0.85
famished,8,55,4.01,1.43,1.87
famishes,8,0,0,NULL,NULL
famishing,9,0,0,NULL,NULL
famously,8,123,4.81,0.63,1.52
fanatically,11,143,4.96,0.14,0.9
fanaticisms,11,1,0,NULL,NULL
fanciers,8,637,6.46,NULL,NULL
fanciest,8,42,3.74,0.18,1
fancifully,10,5,1.61,0.02,0.3
fancily,7,4,1.39,NULL,NULL
fancyworks,10,0,0,NULL,NULL
fandango,8,63,4.14,0.1,0.78
fandangos,9,6,1.79,0.02,0.3
FANEUIL,7,22,3.09,NULL,NULL
fanfares,8,13,2.56,0.02,0.3
fanlights,9,0,0,NULL,NULL
fannies,7,22,3.09,0.18,1
FANSHAWE,8,7,1.95,NULL,NULL
fantan,6,2,0.69,NULL,NULL
fantasias,9,68,4.22,NULL,NULL
FANTASIST,9,20,3,NULL,NULL
fantastical,11,65,4.17,0.27,1.18
fantastically,13,316,5.76,0.39,1.32
FANTODS,7,0,0,NULL,NULL
farcical,8,232,5.45,0.12,0.85
farcically,10,1,0,0.02,0.3
FARDULLI'S,10,0,0,NULL,NULL
fared,5,345,5.84,0.27,1.18
farewells,9,50,3.91,0.2,1.04
farinaceous,11,2,0.69,NULL,NULL
FARLEY,6,602,6.4,1.55,1.9
farmhands,9,24,3.18,0.06,0.6
FARMINGTON,10,590,6.38,NULL,NULL
farmsteads,10,28,3.33,NULL,NULL
FARMWIFE'S,10,0,0,NULL,NULL
farmyards,9,3,1.1,0.02,0.3
FARNESE,7,2,0.69,NULL,NULL
FARNESES,8,0,0,NULL,NULL
FARNUM,6,65,4.17,NULL,NULL
FARNWORTH,9,12,2.48,NULL,NULL
FARO,4,147,4.99,0.67,1.54
FAROUK,6,58,4.06,NULL,NULL
FARR,4,413,6.02,NULL,NULL
farrago,7,43,3.76,NULL,NULL
farragos,8,0,0,NULL,NULL
FARRAR,6,630,6.45,NULL,NULL
FARRELL,7,1568,7.36,NULL,NULL
FARRELLS,8,15,2.71,NULL,NULL
farrier,7,231,5.44,0.06,0.6
farriers,8,50,3.91,0.04,0.48
farrow,6,198,5.29,1.76,1.96
farrowed,8,0,0,NULL,NULL
farrowing,9,13,2.56,NULL,NULL
farrows,7,4,1.39,NULL,NULL
Farsi,5,405,6,NULL,NULL
farsightedness,14,32,3.47,NULL,NULL
farted,6,149,5,1.29,1.83
farthings,9,22,3.09,0.04,0.48
farting,7,292,5.68,1.16,1.78
farts,5,537,6.29,1.45,1.88
fascia,6,129,4.86,0.1,0.78
fascias,7,10,2.3,NULL,NULL
FASCICLES,9,16,2.77,NULL,NULL
FASCICULATIONS,14,4,1.39,NULL,NULL
fascinations,12,37,3.61,0.08,0.7
fashionably,11,70,4.25,0.39,1.32
fasted,6,149,5,0.08,0.7
